Gen,Price/Core,Type
1st,84.25,i5
2nd,51.11,i5
3rd,49.5,i5
4th,52.14,i5
5th,65.41,i5
6th,49.75,i5
7th,51.81,i5
8th,34.1,i5
10th,33.63,i5
11th,33.89,i5
12th,36.67,i5
13th,41.25,i5
