Gen,Price/Core,Type
1st,134.04,i7 
2nd,108.52,i7 
3rd,96.9,i7 
4th,85.23,i7 
5th,120.44,i7 
6th,76.07,i7 
7th,80.25,i7 
8th,46.91,i7 
10th,41.58,i7 
11th,42.92,i7 
12th,44.51,i7 
13th,50.1,i7 
