Gen,Price/Core,Type
1st,65.25,i3
2nd,65.125,i3
3rd,65.05,i3
4th,65.28,i3
6th,63.78,i3
7th,67.94,i3
8th,34.23,i3
10th,32.93,i3
12th,31.32,i3
13th,33.08,i3
